ingroup,ingroup2,ingroup3,nperps,nperpcap,nkill,nkillter,nwound,nwoundte,propextent,propvalue
3629,,,,,1,,0,,,
3330,,,7,,0,,0,,,
-9,,,,,1,,0,,,
-9,,,,,,,,,,
-9,,,,,,,,,,
2373,,,-99,-99,0,0,0,0,3,
623,,,3,,0,,0,,,
-9,,,-99,-99,0,0,0,0,3,22500
100003,,,1,1,0,0,0,0,3,60000
100003,,,1,1,0,0,0,0,3,
1231,,,,,0,,0,,3,0
453,,,-99,-99,0,0,0,0,3,305
-9,,,1,,0,0,0,0,,
453,,,-99,-99,0,0,0,0,3,
3956,,,-99,-99,0,0,0,0,2,2000000
4691,,,,,,,,,,
1897,,,1,,1,,0,,,
2373,,,-99,-99,0,0,0,0,3,
612,,,-99,-99,0,0,0,0,4,
2373,,,-99,-99,0,0,0,0,3,17000
2373,,,-99,-99,0,0,1,0,3,
623,,,5,,0,,0,,3,2500
2373,,,3,-99,0,0,0,0,3,2200
1110,,,2,2,0,0,0,0,,
638,,,-99,-99,0,0,0,0,3,
-9,,,1,,1,,0,,,
-9,,,,,0,,0,,3,5000
6012,,,3,,0,,0,,,
612,,,-99,-99,0,0,0,0,3,
638,,,-99,-99,0,0,0,0,3,
2373,,,-99,-99,0,0,2,0,3,
2373,,,-99,-99,0,0,0,0,3,
2373,,,-99,-99,0,0,0,0,,
453,,,-99,-99,0,0,0,0,3,8800
-9,,,,,,,,,4,
638,,,-99,-99,0,0,0,0,3,3000
612,,,-99,-99,0,0,0,0,3,
612,,,-99,-99,0,0,0,0,3,2500
1110,,,-99,-99,0,0,0,0,3,
520,,,,,0,,1,,,
-9,,,-99,-99,0,0,0,0,3,
453,,,1,-99,0,0,0,0,3,4189
2373,,,-99,-99,0,0,0,0,3,
-9,,,-99,-99,0,0,0,0,,
-9,,,-99,-99,0,0,0,0,,
-9,,,-99,-99,0,0,0,0,,
612,,,-99,-99,0,0,0,0,3,
2373,,,3,-99,0,0,0,0,3,200000
638,,,-99,-99,0,0,0,0,3,1000
638,,,-99,-99,0,0,0,0,3,
3950,,,-99,-99,0,0,0,0,4,
3950,,,-99,-99,0,0,0,0,4,
3950,,,-99,-99,0,0,0,0,4,
1110,,,-99,-99,0,0,0,0,3,
1110,,,-99,-99,0,0,0,0,2,1000000
3950,,,-99,-99,0,0,0,0,3,
3950,,,-99,-99,0,0,0,0,3,
3950,,,1,1,0,0,0,0,,
612,,,-99,-99,0,0,0,0,3,
838,,,3,,1,,,,3,60000
1110,,,-99,-99,0,0,0,0,3,2500
-9,,,,,0,,7,,3,8000
838,,,,,7,,9,,3,60000
2373,,,-99,-99,0,0,7,0,3,
453,,,-99,-99,0,0,0,0,3,
1110,,,-99,-99,0,0,1,0,3,350000
-9,,,,,1,,0,,3,3000
-9,,,,,0,,0,,3,0
-9,,,,,0,,0,,3,0
453,,,1,-99,0,0,0,0,,
-9,,,-99,-99,0,0,0,0,,
-9,,,-99,-99,0,0,0,0,3,
638,,,-99,-99,0,0,0,0,3,
1110,,,-99,-99,0,0,0,0,,
2373,,,-99,-99,0,0,0,0,3,
2373,,,-99,-99,0,0,0,0,,
453,,,-99,-99,0,0,0,0,3,450
1110,,,-99,-99,0,0,0,0,3,
1110,,,-99,-99,0,0,0,0,3,
4413,,,4,,0,,0,,3,100000
4413,,,,,47,,0,,2,3000000
453,,,-99,-99,0,0,0,0,,
453,,,-99,-99,0,0,0,0,3,
1231,,,4,-99,0,0,0,0,3,
2373,,,-99,-99,0,0,0,0,4,
638,,,-99,0,0,0,0,0,3,
100003,,,1,1,0,0,0,0,,
612,,,-99,-99,0,0,0,0,,
